language,pretrain,decay-eng,decay-all,decay-mid,ext
rmo,0,0,1033458,0,0
rmq,0,0,213429,0,0
rmy,0,420910270,317327114,420910270,1040455055
rnd,0,0,409995,0,0
rng,0,0,248409,0,0
rnl,0,0,12876,0,0
roh,0,0,64157466,0,0
ron,22361702990,1314440276,1427793839,1360188574,9340045008
roo,0,0,459255,0,0
rop,0,0,6911022,0,0
row,0,0,510060,0,0
rro,0,0,513228,0,0
rtm,0,0,626655,0,0
rub,0,0,25929,0,0
rue,0,0,86080674,0,0
ruf,0,0,47550,0,0
rug,0,0,1438932,0,0
run,0,0,75155205,0,0
rup,0,0,4621509,0,0
rus,115435806777,2840486420,2984939168,3078675542,30190326374
rwo,0,0,1528125,0,0
sab,0,0,423786,0,0
sag,0,0,14540316,0,0
sah,0,0,126349224,0,0
saj,0,0,930,0,0
san,0,0,64129377,0,0
sas,0,0,890625,0,0
sat,0,0,2413206,0,0
sba,0,0,136254,0,0
sbd,0,0,1350,0,0
sbe,0,0,627417,0,0
sbl,0,0,739212,0,0
sbs,0,0,1497,0,0
sby,0,0,42309,0,0
sck,0,0,39384,0,0
scn,0,0,19728600,0,0
sco,0,0,82438113,0,0
